Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
12.94,Introducción a la Ing. Nuclear,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
12.97,Trabajo de Investigación Dirigido II,"miércoles, 15 de julio de 2026",16:00,"miércoles, 22 de julio de 2026",16:00
13.01,Química Inorgánica,"lunes, 6 de julio de 2026",11:00,"lunes, 13 de julio de 2026",11:00
13.02,Fundamentos de Química Orgánica,"martes, 7 de julio de 2026",8:00,"martes, 14 de julio de 2026",8:00
13.03,Química Orgánica I,"martes, 7 de julio de 2026",8:00,"martes, 14 de julio de 2026",8:00
15.89,Mejora continua de procesos,"viernes, 10 de julio de 2026",10:00,"viernes, 17 de julio de 2026",10:00
16.01,Biología Molecular y Celular,"lunes, 6 de julio de 2026",19:00,"jueves, 16 de julio de 2026",9:00
16.02,Histología y Anatomía,"lunes, 6 de julio de 2026",16:00,"miércoles, 15 de julio de 2026",16:00
16.03,Fisiología,"martes, 7 de julio de 2026",19:00,"martes, 14 de julio de 2026",19:00
16.04,Neurociencias y Desarrollo Productivo,"jueves, 2 de julio de 2026",16:00,"jueves, 16 de julio de 2026",16:00
16.09,Ventilación Mecánica,"lunes, 13 de julio de 2026",13:00,"lunes, 20 de julio de 2026",13:00
16.14,Fisiología Cuantitativa,"jueves, 2 de julio de 2026",19:00,"jueves, 16 de julio de 2026",19:00
16.17,Instrumentación Biomédica I,"martes, 7 de julio de 2026",18:00,"martes, 21 de julio de 2026",18:00
16.18,Instrumentación Biomédica II,"martes, 14 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
16.19,Biosensores,"viernes, 10 de julio de 2026",16:00,"jueves, 16 de julio de 2026",16:00
16.20,Biomedicina Estructural y Computacional,"miércoles, 8 de julio de 2026",8:00,"miércoles, 15 de julio de 2026",8:00
16.21,Bioinformática,"lunes, 13 de julio de 2026",8:00,"lunes, 20 de julio de 2026",8:00
16.22,Informática Médica,"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
16.23,Órganos Artificiales,"martes, 14 de julio de 2026",16:00,"martes, 21 de julio de 2026",16:00
16.24,Ingeniería de Rehabilitación,"miércoles, 8 de julio de 2026",14:00,"miércoles, 15 de julio de 2026",14:00
16.25,Ingeniería Clínica,"miércoles, 15 de julio de 2026",16:00,"miércoles, 22 de julio de 2026",16:00
16.27,Ingeniería de Tejidos,"viernes, 10 de julio de 2026",10:00,"viernes, 17 de julio de 2026",10:00
